Age_Group,Male,Female
0 - 4,"2055581","1957754"
5 - 9,"2467140","2339477"
10 - 14,"2741602","2590970"
15 - 19,"2905586","2747227"
20 - 24,"3123806","2969008"
25 - 29,"3112117","2991052"
30 - 34,"3105947","2985897"
35 - 39,"3403800","3288952"
40 - 44,"3770818","3693874"
45 - 49,"4461369","4392177"
50 - 54,"4975377","4889270"
55 - 59,"4226206","4118071"
60 - 64,"3816981","3768372"
65 - 69,"3611321","3698376"
70 - 74,"3946724","4293059"
75 - 79,"3756507","4473211"
80 - 84,"2634814","3586305"
85 - 89,"1491180","2519061"
90 - 94,"613916","1479586"
95 - 99,"133604","495872"
100+,"17162","103910"